Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MONETARY AGREGATES
,,,,,Monetary Statistics Department - Central Bank of the Argentine Republic
,,,,,
,,,,,
,,,,,
Year,Month,Monetary expression (m),,,Monetary base (M0)
,,Description,Quantity of,Equivalence,Total
,,,previous,of the original,
,,,monetary unit,monetary unit,
,,,in the new,with the,
,,,monetary,actual mone-,
,,,unit,tary unit,
Año,Mes,divisa,unidad medida,equivalencia,MO
1946.11,Nov.,m$n,1000000,1.0000000000000002e-13,3771.5
1946.12,Dic.,m$n,1000000,1.0000000000000002e-13,4119.900000000001
1946.13,,,,,
1947.01,Ene. ,m$n,1000000,1.0000000000000002e-13,4095.7
1947.02,Feb.,m$n,1000000,1.0000000000000002e-13,4127
1947.03,Mar.,m$n,1000000,1.0000000000000002e-13,4164.4
1947.04,Abr.,m$n,1000000,1.0000000000000002e-13,4264.4
1947.05,May.,m$n,1000000,1.0000000000000002e-13,4360.2
1947.06,Jun.,m$n,1000000,1.0000000000000002e-13,4457.7
1947.07,Jul.,m$n,1000000,1.0000000000000002e-13,4579.4
1947.08,Ago.,m$n,1000000,1.0000000000000002e-13,4649.8
1947.09,Set.,m$n,1000000,1.0000000000000002e-13,4710.2
1947.1,Oct.,m$n,1000000,1.0000000000000002e-13,4797.6
1947.11,Nov.,m$n,1000000,1.0000000000000002e-13,4889.7
1947.12,Dic.,m$n,1000000,1.0000000000000002e-13,5398.7
1947.13,,,,,
1948.01,Ene. ,m$n,1000000,1.0000000000000002e-13,5310.2
1948.02,Feb.,m$n,1000000,1.0000000000000002e-13,5432
1948.03,Mar.,m$n,1000000,1.0000000000000002e-13,5574.2
1948.04,Abr.,m$n,1000000,1.0000000000000002e-13,5738.6
1948.05,May.,m$n,1000000,1.0000000000000002e-13,5838.7
1948.06,Jun.,m$n,1000000,1.0000000000000002e-13,6007
1948.07,Jul.,m$n,1000000,1.0000000000000002e-13,6128.2
1948.08,Ago.,m$n,1000000,1.0000000000000002e-13,6284.700000000001
1948.09,Set.,m$n,1000000,1.0000000000000002e-13,6488.5
1948.1,Oct.,m$n,1000000,1.0000000000000002e-13,6709.5
1948.11,Nov.,m$n,1000000,1.0000000000000002e-13,7040.7
1948.12,Dic.,m$n,1000000,1.0000000000000002e-13,7745
1948.13,,,,,
1949.01,Ene.,m$n,1000000,1.0000000000000002e-13,7598.1
1949.02,Feb.,m$n,1000000,1.0000000000000002e-13,7820.9
1949.03,Mar.,m$n,1000000,1.0000000000000002e-13,7868.3
1949.04,Abr.,m$n,1000000,1.0000000000000002e-13,7944.5
1949.05,May.,m$n,1000000,1.0000000000000002e-13,8101.9
1949.06,Jun.,m$n,1000000,1.0000000000000002e-13,8234.7
1949.07,Jul.,m$n,1000000,1.0000000000000002e-13,8333.5
1949.08,Ago.,m$n,1000000,1.0000000000000002e-13,8454.8
1949.09,Set.,m$n,1000000,1.0000000000000002e-13,8589.5
1949.1,Oct.,m$n,1000000,1.0000000000000002e-13,8987.300000000001
1949.11,Nov.,m$n,1000000,1.0000000000000002e-13,9210.5
1949.12,Dic.,m$n,1000000,1.0000000000000002e-13,10265.3
1949.13,,,,,
1950.01,Ene.,m$n,1000000,1.0000000000000002e-13,10127.199999999999
1950.02,Feb.,m$n,1000000,1.0000000000000002e-13,10280.900000000001
1950.03,Mar.,m$n,1000000,1.0000000000000002e-13,10317.8
1950.04,Abr.,m$n,1000000,1.0000000000000002e-13,10459.3
1950.05,May.,m$n,1000000,1.0000000000000002e-13,10656.3
1950.06,Jun.,m$n,1000000,1.0000000000000002e-13,10681.6
1950.07,Jul.,m$n,1000000,1.0000000000000002e-13,10928.9
1950.08,Ago.,m$n,1000000,1.0000000000000002e-13,11138.1
1950.09,Set.,m$n,1000000,1.0000000000000002e-13,11342.8
1950.1,Oct.,m$n,1000000,1.0000000000000002e-13,11658.6
1950.11,Nov.,m$n,1000000,1.0000000000000002e-13,11939.5
1950.12,Dic.,m$n,1000000,1.0000000000000002e-13,13322.2
1950.13,,,,,
1951.01,Ene. ,m$n,1000000,1.0000000000000002e-13,13327.3
1951.02,Feb.,m$n,1000000,1.0000000000000002e-13,13467
1951.03,Mar.,m$n,1000000,1.0000000000000002e-13,13637.3
1951.04,Abr.,m$n,1000000,1.0000000000000002e-13,13842.3
1951.05,May.,m$n,1000000,1.0000000000000002e-13,14291.9
1951.06,Jun.,m$n,1000000,1.0000000000000002e-13,14594.2
1951.07,Jul.,m$n,1000000,1.0000000000000002e-13,14819.400000000001
1951.08,Ago.,m$n,1000000,1.0000000000000002e-13,15137.8
1951.09,Set.,m$n,1000000,1.0000000000000002e-13,15306.5
1951.1,Oct.,m$n,1000000,1.0000000000000002e-13,15529.5
1951.11,Nov.,m$n,1000000,1.0000000000000002e-13,16036.5
1951.12,Dic.,m$n,1000000,1.0000000000000002e-13,17720
1951.13,,,,,
1952.01,Ene. ,m$n,1000000,1.0000000000000002e-13,17313.3
1952.02,Feb.,m$n,1000000,1.0000000000000002e-13,17313.8
1952.03,Mar.,m$n,1000000,1.0000000000000002e-13,17199.7
1952.04,Abr.,m$n,1000000,1.0000000000000002e-13,17274.8
1952.05,May.,m$n,1000000,1.0000000000000002e-13,17448.7
1952.06,Jun.,m$n,1000000,1.0000000000000002e-13,17636.1
1952.07,Jul.,m$n,1000000,1.0000000000000002e-13,17694.2
1952.08,Ago.,m$n,1000000,1.0000000000000002e-13,17831.7
1952.09,Set.,m$n,1000000,1.0000000000000002e-13,17983.600000000002
1952.1,Oct.,m$n,1000000,1.0000000000000002e-13,18267.1
1952.11,Nov.,m$n,1000000,1.0000000000000002e-13,18801.3
1952.12,Dic.,m$n,1000000,1.0000000000000002e-13,21282.9
1952.13,,,,,
1953.01,Ene. ,m$n,1000000,1.0000000000000002e-13,21021.1
1953.02,Feb.,m$n,1000000,1.0000000000000002e-13,21268.5
1953.03,Mar.,m$n,1000000,1.0000000000000002e-13,21461.3
1953.04,Abr.,m$n,1000000,1.0000000000000002e-13,21695
1953.05,May.,m$n,1000000,1.0000000000000002e-13,21925.5
1953.06,Jun.,m$n,1000000,1.0000000000000002e-13,22293.7
1953.07,Jul.,m$n,1000000,1.0000000000000002e-13,22545.6
1953.08,Ago.,m$n,1000000,1.0000000000000002e-13,22767.5
1953.09,Set.,m$n,1000000,1.0000000000000002e-13,23163.3
1953.1,Oct.,m$n,1000000,1.0000000000000002e-13,23636.8
1953.11,Nov.,m$n,1000000,1.0000000000000002e-13,24354.699999999997
1953.12,Dic.,m$n,1000000,1.0000000000000002e-13,26506.7
1953.13,,,,,
1954.01,Ene.,m$n,1000000,1.0000000000000002e-13,25989
1954.02,Feb.,m$n,1000000,1.0000000000000002e-13,25830.8
1954.03,Mar.,m$n,1000000,1.0000000000000002e-13,25872.3
1954.04,Abr.,m$n,1000000,1.0000000000000002e-13,26061.7
1954.05,May.,m$n,1000000,1.0000000000000002e-13,26013.1
1954.06,Jun.,m$n,1000000,1.0000000000000002e-13,26223.3
1954.07,Jul.,m$n,1000000,1.0000000000000002e-13,26415.8
1954.08,Ago.,m$n,1000000,1.0000000000000002e-13,26995
1954.09,Set.,m$n,1000000,1.0000000000000002e-13,27422.4
1954.1,Oct.,m$n,1000000,1.0000000000000002e-13,27783.1
1954.11,Nov.,m$n,1000000,1.0000000000000002e-13,28650.9
1954.12,Dic.,m$n,1000000,1.0000000000000002e-13,31598.3
1954.13,,,,,
1955.01,Ene.,m$n,1000000,1.0000000000000002e-13,31338
1955.02,Feb.,m$n,1000000,1.0000000000000002e-13,31535.2
1955.03,Mar.,m$n,1000000,1.0000000000000002e-13,31498.9
1955.04,Abr.,m$n,1000000,1.0000000000000002e-13,31311.7
1955.05,May.,m$n,1000000,1.0000000000000002e-13,31428.7
1955.06,Jun.,m$n,1000000,1.0000000000000002e-13,31620.9
