year,GDP_Current,GDP_Constant,Broad_Money,Inflation,Velocity_Money
1961-12-31,0.2684097315421119,0.0542784287621933,-0.0035971223021582,0.203106975290508,0.2720068538442701
1962-12-31,0.2777382582315266,-0.0085202152190333,0.1010830324909748,0.288718416496811,0.1766552257405518
1963-12-31,0.1892452867867706,-0.0530819682539126,0.3311475409836064,0.255911543466798,-0.1419022541968357
1964-12-31,0.4181986936640736,0.1013029766154307,0.413793103448276,0.2877461731943549,0.0044055902157975
1965-12-31,0.3404656916680397,0.105694333376394,0.270034843205575,0.212329349264853,0.0704308484624647
1966-12-31,0.2477482351234192,-0.0065972617062982,0.315500685871056,0.25603462425178,-0.0677524507476368
1967-12-31,0.3313652153204378,0.0319199662339177,0.5380604796663191,0.290182629355813,-0.2066952643458812
1968-12-31,0.1559333827097,0.0482250077932424,0.2806779661016951,0.102753105598205,-0.1247445833919951
1969-12-31,0.1822995544061265,0.0967952601078325,0.2091053467443091,0.0779583003393792,-0.0268057923381825
1970-12-31,0.0971050635021879,0.0304564331917114,0.2084063047285465,0.0646787463920628,-0.1113012412263585
1971-12-31,0.3869855275133689,0.0565813108184924,0.0869565217391303,0.312710638842292,0.3000290057742385
1972-12-31,0.6691937513915494,0.0162841651825937,1.1,0.642447859149364,-0.4308062486084507
1973-12-31,0.7018973249790059,0.0281175403849034,0.7460317460317463,0.65535287370144,-0.0441344210527403
1974-12-31,0.3785927447718631,0.055338043957736,0.5454545454545452,0.30630441370412,-0.166861800682682
1975-12-31,1.976127824592282,-0.0002841210371108,1.5294117647058822,1.97697364543187,0.4467160598863997
1977-12-31,1.774162415185268,0.0693414775653342,2.271794871794872,1.5942717769645,-0.4976324566096037
1978-12-31,1.4959441573591583,-0.0450612480201358,1.7257053291536053,1.61372172004157,-0.229761171794447
1979-12-31,1.726658141100259,0.1022276346386812,1.8740655549166187,1.4737704403447298,-0.1474074138163597
1980-12-31,0.9876405815729954,0.0151878394990179,0.917567026810724,0.957904246128352,0.0700735547622712
1981-12-31,0.9462295580790094,-0.0518978914135592,0.8258034223706177,1.05276366380064,0.1204261357083917
1982-12-31,1.9236852375467568,-0.0073565915910361,1.6528559590822072,1.94535299663443,0.27082927846455
1986-12-31,0.8820169651272385,0.0615337706275693,1.1301532316698393,0.7729223668641331,-0.2481362665426008
1987-12-31,1.3369457437325347,0.0270486882770557,1.6314248715620208,1.27539918059086,-0.294479127829486
1991-12-31,1.6246772682132478,0.0913311056738961,1.413370403134083,1.4050237866101198,0.2113068650791647
1992-12-31,0.2528496607798411,0.0793729155643077,0.6248625438550557,0.1607199353569449,-0.3720128830752145
1993-12-31,0.0435362512780193,0.0820697907221228,0.4648082500805672,-0.0356109557576575,-0.4212719988025479
1994-12-31,0.0885183360328092,0.0583620070368526,0.1764027016918574,0.0284933971509302,-0.0878843656590482
1995-12-31,0.00229859384711,-0.0284520961057078,-0.0280555086350307,0.0316512339016516,0.0303541024821407
1996-12-31,0.0547141969931994,0.0552668982715234,0.1882056055434895,-0.0005237549659041,-0.13349140855029
1997-12-31,0.0760950542853704,0.081110467707457,0.2553473781492561,-0.0046391313116429,-0.1792523238638856
1998-12-31,0.0207924291211811,0.0385017885156226,0.1048809294100161,-0.0170527962400085,-0.0840885002888349
1999-12-31,-0.0515983953744502,-0.0338545704063268,0.0408558965895919,-0.0183655839220664,-0.0924542919640422
2000-12-31,0.0024010397745508,-0.007889989390569,0.015310336331245,0.0103728710073175,-0.0129092965566941
2001-12-31,-0.0545629675892735,-0.0440883968258556,-0.1943621848168313,-0.0109576771833679,0.1397992172275577
2002-12-31,0.1633188715531541,-0.1089448482859027,0.1970885389263779,0.30555204053903,-0.0337696673732237
2003-12-31,0.2026025337513597,0.0883704079576923,0.2963485277881519,0.104957030215496,-0.0937459940367921
2004-12-31,0.2905106008228044,0.0902957330068152,0.214273104900815,0.183633542492033,0.0762374959219893
2005-12-31,0.2008244212186496,0.0885165992013437,0.2151391856090605,0.103175111982406,-0.0143147643904109
2006-12-31,0.2289396729764077,0.0804715150043027,0.2026273509516327,0.137410524859152,0.0263123220247749
2007-12-31,0.2529331218683941,0.0900765087504757,0.2446562561112368,0.149399250245835,0.0082768657571572
2008-12-31,0.2816850626085649,0.0405723310346406,0.080646999944314,0.231711649813124,0.2010380626642509
2009-12-31,0.085489942603733,-0.0591852507634946,0.1699991626992067,0.153776493708921,-0.0845092200954737
2010-12-31,0.3315826203553513,0.1012539815610023,0.3377804423922019,0.2091512427204699,-0.0061978220368505
2011-12-31,0.3113056889620771,0.0600395169280578,0.2570053838467594,0.2370347218395929,0.0543003051153176
2012-12-31,0.2105941571925986,-0.0102642045443209,0.3490183341851378,0.223148806733049,-0.1384241769925391
2013-12-31,0.2693016834059016,0.0240532378079436,0.2702637204388394,0.239487984162746,-0.0009620370329377
2014-12-31,0.3675820019384317,-0.0251261532081393,0.2984622718770069,0.402829716315506,0.0691197300614248
2015-12-31,0.3003709348376957,0.0273115982828944,0.3945022789635128,0.265799916024707,-0.0941313441258171
2016-12-31,0.3818363423336577,-0.020803278437781,0.4158406089132422,0.411193799882279,-0.0340042665795845
2017-12-31,0.2955787283413504,0.0281850297775918,0.301194291866375,0.260063792819079,-0.0056155635250245
2018-12-31,0.3831608473019539,-0.0261739646282037,0.4740677999651137,0.420336689575031,-0.0909069526631598
2019-12-31,0.4621038290026849,-0.0200086100285784,0.2582682729002421,0.491955790596612,0.2038355561024427
2020-12-31,0.2621418296695457,-0.099004848136464,0.6644278978529086,0.4008308780119929,-0.4022860681833629
