Año,Divisa,M0_gr,M1_gr,M2_gr,M3_gr,GDP_gr,Inflation Rate,GDP_Real_gr,Velocity M2_gr
1960-12-31,Pesos,0.20736398438452075,0.2917500540046454,0.28682528201009716,0.3034998096071351,0.2684097315421119,0.17857142857142883,,-0.014310839805089293
1961-12-31,Pesos,-0.015452019245762116,0.10942054323294492,0.12122924758865072,0.14086600703041885,0.27773825823152665,0.3333333333333335,0.054278428762193354,0.13958698542645842
1962-12-31,Pesos,0.08091613415932652,0.008347773657112256,0.03416231313485696,0.04366558890058414,0.18924528678677066,0.27272727272727226,-0.008520215219033345,0.14995999339969246
1963-12-31,Pesos,0.37404828809594814,0.27270383685638855,0.31059733556854274,0.32299331749618565,0.4181986936640736,0.1785714285714286,-0.05308196825391265,0.0821010047673052
1964-12-31,Pesos,0.40742179429688896,0.43674182832906316,0.4562753525754817,0.4478595085811261,0.34046569166803975,0.39393939393939403,0.10130297661543075,-0.07952456292185939
1965-12-31,Pesos,0.3923555913331125,0.2509255126184564,0.2592965295042884,0.27585256749377796,0.24774823512341926,0.3043478260869563,0.105694333376394,-0.009170432944347828
1966-12-31,Pesos,0.2722521623056171,0.3331259906539161,0.3378901385453683,0.32228536331869284,0.33136521532043783,0.25000000000000044,-0.006597261706298263,-0.004877024680086772
1967-12-31,Pesos,0.4135156767919934,0.35899602564900723,0.3814395727173845,0.3706932375834038,0.15593338270970003,0.13333333333333353,0.031919966233917796,-0.16323999577057036
1968-12-31,Pesos,0.13008239902742136,0.2749677034681506,0.31305252210088397,0.3833628559749285,0.18229955440612655,0.05882352941176472,0.04822500779324246,-0.09957938886218543
1969-12-31,Pesos,-0.0005976571838393063,0.11262665627435697,0.17205091937765227,0.1627185422309776,0.09710506350218795,0.22222222222222188,0.09679526010783257,-0.06394419784701832
1970-12-31,Pesos,0.2085874895347435,0.19922942206654937,0.2187198300830271,0.27671650641704404,0.3869855275133689,0.36363636363636376,0.03045643319171143,0.13806757982995843
1971-12-31,Pesos,0.2844136566056419,0.3156142298031428,0.29425278250881326,0.3505075973724374,0.6691937513915494,0.6333333333333335,0.05658131081849249,0.2896968613472406
1972-12-31,Pesos,0.4304645966561369,0.4105319243406449,0.446658097686375,0.5834377379811826,0.7018973249790059,0.44897959183673475,0.01628416518259379,0.1764336906563011
1973-12-31,Pesos,1.4307335990520302,1.014007806597835,1.0085253115017667,0.9230960175000387,0.3785927447718631,0.3943661971830983,0.02811754038490344,-0.31362938924523964
1974-12-31,Pesos,0.5801369407697934,0.62817086322502,0.5850545052398759,0.6037819566462566,1.976127824592282,3.3434343434343434,0.055338043957736005,0.8776186022334207
1975-12-31,Pesos,2.2799046417052313,1.9122412932457857,1.450858179450207,1.4182494969818915,4.274580720722549,3.4186046511627906,-0.00028412103711084047,1.15213624556023
1976-12-31,Pesos,3.4032878703664107,2.882306987414874,2.9031902981533846,3.522271543511361,1.774162415185268,1.6315789473684221,-0.020182515168339465,-0.28925770888041624
1977-12-31,Pesos,2.495626210693427,1.5081105221554587,1.325413766348694,2.216102219198711,1.4959441573591583,1.7999999999999994,0.06934147756533426,0.07333335403712993
1978-12-31,Pesos,0.9770214269464708,1.5802246422683588,1.6024844664837188,1.7724707277889253,1.726658141100259,1.3571428571428572,-0.04506124802013589,0.04771351230553722
1979-12-31,Pesos,0.8510814460381306,1.4511480556243255,1.4395305317787233,1.8455015929912406,0.9876405815729954,0.8484848484848486,0.10222763463868123,-0.18523643968343506
1980-12-31,Pesos,0.7907400379506642,1.0307502087481533,1.0829287112315567,0.9336774188869978,0.9462295580790094,1.2950819672131146,0.015187839499017919,-0.06562833975807181
1981-12-31,Pesos,1.1755605476200568,0.8126731347571563,0.8264613271773649,1.0897968367662636,1.9236852375467572,2.142857142857143,-0.05189789141355927,0.6007375541123858
1982-12-31,Pesos,7.440656172069826,2.159801084728019,2.0687360870640616,1.3076571079926782,4.010410708156962,4.227272727272728,-0.007356591591036188,0.6327277960714273
1983-12-31,Pesos,3.5620230725552924,3.5509389854999105,4.277265070243171,3.807362564299962,6.223673394830578,6.999999999999997,0.043490932792675574,0.36882898597657876
1984-12-31,Pesos,4.355433451726825,4.916154343957289,5.35557354389877,5.8430873004318915,5.707378748798867,3.8641304347821546,0.01570738701820229,0.05535380913620669
1985-12-31,Pesos,3.869113256745522,7.997687511536805,7.148902501153492,5.48730990564867,0.8820169651272385,0.8201117318435975,-0.05189024353439031,-0.7690465722395334
1986-12-31,Pesos,0.3471470600961337,0.6507575799193186,0.6662680839336872,0.922027099032724,1.3369457437325347,1.7476979742174472,0.06153377062756937,0.40250285429192645
1987-12-31,Pesos,0.9471398987700717,0.9218852495072236,1.0250710949113615,1.4992890337664297,3.760010800478307,3.877792672028731,0.027048688277055755,1.350540093352453
1988-12-31,Pesos,4.177672112531368,3.642697901978673,3.4470212178357436,4.378619099855753,28.209269921305218,49.23221728576031,-0.01089933341337912,5.568277615621688
1989-12-31,Pesos,51.69223796401473,43.67979992931122,37.39543021960287,32.04514287992842,20.245730854035948,13.439236997592822,-0.07156949655979528,-0.44665990893914
1990-12-31,Pesos,8.807046449892729,8.742060129128893,11.66483482576474,7.509631571664901,1.6246772682132478,0.8398754720317259,-0.024672137781047265,-0.7927586656816299
1991-12-31,Pesos,1.16273260844924,1.5807558088925506,1.402159589508413,1.5093981003093933,0.25284966077984117,0.17545708215637745,0.09133110567389613,-0.47844861504966496
1992-12-31,Pesos,0.4074169567876813,0.42092559683955644,0.44913338541034875,0.6133269739839255,0.0435362512780193,0.07365101611772928,0.0793729155643077,-0.2798894416592833
