Año,Divisa,M0_gr,M1_gr,M2_gr,M3_gr,GDP_gr,Inflation Rate,GDP_Real_gr,Velocity M0_gr,Velocity M1_gr,Velocity M2_gr,Velocity M3_gr
1961-12-31,Pesos,-0.0154520192457621,0.1094205432329449,0.1212292475886507,0.1408660070304188,0.2684097315421119,0.2031069752905081,0.0542784287621933,0.2883168279624266,0.1433083146683575,0.1312670751944724,0.1117955340291707
1962-12-31,Pesos,0.0809161341593265,0.0083477736571122,0.0341623131348569,0.0436655889005841,0.2777382582315266,0.2887184164968113,-0.0085202152190333,0.182088247045435,0.2671602909355164,0.2355297055433374,0.2242793782034327
1963-12-31,Pesos,0.3740482880959481,0.2727038368563885,0.3105973355685427,0.3229933174961856,0.1892452867867706,0.255911543466798,-0.0530819682539126,-0.134495274227417,-0.0655757825605073,-0.0925929310920878,-0.1010950160825742
1964-12-31,Pesos,0.4074217942968889,0.4367418283290631,0.4562753525754817,0.4478595085811261,0.4181986936640736,0.2877461731943553,0.1013029766154307,0.0076571923291612,-0.0129063790719835,-0.0261466067142233,-0.020485975843139
1965-12-31,Pesos,0.3923555913331125,0.2509255126184564,0.2592965295042884,0.2758525674937779,0.3404656916680397,0.2123293492648532,0.105694333376394,-0.0372677066031605,0.0715791453178984,0.0644559563708977,0.0506430960915682
1966-12-31,Pesos,0.2722521623056171,0.3331259906539161,0.3378901385453683,0.3222853633186928,0.2477482351234192,0.2560346242517806,-0.0065972617062982,-0.0192602755241469,-0.0640432758261789,-0.0673761625300239,-0.0563699260863019
1967-12-31,Pesos,0.4135156767919934,0.3589960256490072,0.3814395727173845,0.3706932375834038,0.3313652153204378,0.2901826293558127,0.0319199662339177,-0.0581178283483903,-0.0203317815557069,-0.0362479535014672,-0.0286920670392325
1968-12-31,Pesos,0.1300823990274213,0.2749677034681506,0.3130525221008839,0.3833628559749285,0.1559333827097,0.1027531055982045,0.0482250077932424,0.0228753086540653,-0.0933626165075829,-0.119659447544256,-0.1644033395019464
1969-12-31,Pesos,-0.0005976571838393,0.1126266562743569,0.1720509193776522,0.1627185422309776,0.1822995544061265,0.0779583003393789,0.0967952601078325,0.1830065867912513,0.0626201949583611,0.0087441892319117,0.0168407154990213
1970-12-31,Pesos,0.2085874895347435,0.1992294220665493,0.2187198300830271,0.276716506417044,0.0971050635021879,0.064678746392063,0.0304564331917114,-0.092241916284829,-0.0851583164031929,-0.0997889453990045,-0.1406823222008107
1971-12-31,Pesos,0.2844136566056419,0.3156142298031428,0.2942527825088132,0.3505075973724374,0.3869855275133689,0.3127106388422918,0.0565813108184924,0.0798589071209323,0.054249411486607,0.0716496392805119,0.0270105330854142
1972-12-31,Pesos,0.4304645966561369,0.4105319243406449,0.446658097686375,0.5834377379811826,0.6691937513915494,0.6424478591493632,0.0162841651825937,0.1668892437418356,0.1833789243528225,0.1538273998957138,0.0541581215057449
1973-12-31,Pesos,1.4307335990520302,1.014007806597835,1.0085253115017667,0.9230960175000388,0.7018973249790059,0.6553528737014396,0.0281175403849034,-0.299842102959068,-0.1549698469868704,-0.1526632424131595,-0.1150221780442267
1974-12-31,Pesos,0.5801369407697934,0.62817086322502,0.5850545052398759,0.6037819566462566,0.3785927447718631,0.30630441370412,0.055338043957736,-0.1275485629111005,-0.1532874246126736,-0.1302553065433972,-0.1404113638647596
1975-12-31,Pesos,2.2799046417052318,1.9122412932457855,1.450858179450207,1.4182494969818915,1.976127824592282,1.9769736454318732,-0.0002841210371108,-0.0926175759045896,0.0219372383375873,0.2143207018448971,0.2306951074761531
1978-12-31,Pesos,0.9770214269464708,1.5802246422683588,1.6024844664837188,1.7724707277889251,1.4959441573591583,1.6137217200415668,-0.0450612480201358,0.2624770391154376,-0.032664010539449,-0.0409379231640563,-0.0997401226487609
1979-12-31,Pesos,0.8510814460381306,1.4511480556243257,1.4395305317787233,1.8455015929912408,1.726658141100259,1.4737704403447291,0.1022276346386812,0.4730081957960983,0.1124004259325568,0.1176978953865288,-0.0417653787942711
1980-12-31,Pesos,0.7907400379506642,1.0307502087481533,1.0829287112315569,0.9336774188869978,0.9876405815729954,0.9579042461283518,0.0151878394990179,0.1099548451754426,-0.0212284243475383,-0.0457471871911645,0.0279070139408559
1981-12-31,Pesos,1.1755605476200568,0.8126731347571563,0.8264613271773649,1.0897968367662636,0.9462295580790094,1.052763663800635,-0.0518978914135592,-0.1054123682247882,0.0736792644856763,0.0655739210677599,-0.068699155899484
1982-12-31,Pesos,7.440656172069826,2.159801084728019,2.0687360870640616,1.3076571079926782,1.9236852375467568,1.9453529966344312,-0.0073565915910361,-0.6536187260865753,-0.0747249085780932,-0.0472672935703892,0.2669495946431712
1986-12-31,Pesos,0.3471470600961337,0.6507575799193186,0.6662680839336872,0.922027099032724,0.8820169651272385,0.7729223668638108,0.0615337706275693,0.3970389877055706,0.1400928810026864,0.1294802938817723,-0.0208166336081426
1987-12-31,Pesos,0.9471398987700717,0.9218852495072236,1.0250710949113615,1.4992890337664295,1.3369457437325347,1.275399180591359,0.0270486882770557,0.2001940616638218,0.2159652842601991,0.1540067652957262,-0.064955788562495
1991-12-31,Pesos,1.16273260844924,1.5807558088925506,1.402159589508413,1.5093981003093933,1.6246772682132478,1.405023786610124,0.0913311056738961,0.2135930525850995,0.0170188357880878,0.0926323461924407,0.0459389715364977
1992-12-31,Pesos,0.4074169567876813,0.4209255968395564,0.4491333854103487,0.6133269739839255,0.2528496607798411,0.1607199353569455,0.0793729155643077,-0.1098233862128732,-0.1182862328847844,-0.135449039133776,-0.2234372318922599
