Año,divisa,equivalencia,M3
1940-12-31,m$n,1.0000000000000002e-13,5465700000.0
1941-12-31,m$n,1.0000000000000002e-13,6287500000.0
1942-12-31,m$n,1.0000000000000002e-13,7251300000.0
1943-12-31,m$n,1.0000000000000002e-13,8368799999.999999
1944-12-31,m$n,1.0000000000000002e-13,10062400000.0
1945-12-31,m$n,1.0000000000000002e-13,11660200000.0
1946-12-31,m$n,1.0000000000000002e-13,14383500000.0
1947-12-31,m$n,1.0000000000000002e-13,17220200000.0
1948-12-31,m$n,1.0000000000000002e-13,23086100000.0
1949-12-31,m$n,1.0000000000000002e-13,28530100000.0
1950-12-31,m$n,1.0000000000000002e-13,34116400000.0
1951-12-31,m$n,1.0000000000000002e-13,40408900000.0
1952-12-31,m$n,1.0000000000000002e-13,45393200000.0
1953-12-31,m$n,1.0000000000000002e-13,56650000000.0
1954-12-31,m$n,1.0000000000000002e-13,68211900000.00001
1955-12-31,m$n,1.0000000000000002e-13,80199300000.0
1956-12-31,m$n,1.0000000000000002e-13,99533799999.99998
1957-12-31,m$n,1.0000000000000002e-13,112642000000.0
1958-12-31,m$n,1.0000000000000002e-13,159322400000.0
1959-12-31,m$n,1.0000000000000002e-13,213505900000.0
1960-12-31,m$n,1.0000000000000002e-13,278304899999.99994
1961-12-31,m$n,1.0000000000000002e-13,317508600000.00006
1962-12-31,m$n,1.0000000000000002e-13,331372800000.0
1963-12-31,m$n,1.0000000000000002e-13,438404000000.0
1964-12-31,m$n,1.0000000000000002e-13,634747399999.9999
1965-12-31,m$n,1.0000000000000002e-13,809844100000.0
1966-12-31,m$n,1.0000000000000002e-13,1070845000000.0
1967-12-31,m$n,1.0000000000000002e-13,1467800000000.0
1968-12-31,m$n,1.0000000000000002e-13,2030500000000.0
1969-12-31,m$n,1.0000000000000002e-13,2360899999999.9995
1970-12-31,$ Ley,1.0000000000000001e-11,30142000000.0
1971-12-31,$ Ley,1.0000000000000001e-11,40707000000.0
1972-12-31,$ Ley,1.0000000000000001e-11,64457000000.0
1973-12-31,$ Ley,1.0000000000000001e-11,123957000000.0
1974-12-31,$ Ley,1.0000000000000001e-11,198800000000.0
1975-12-31,$ Ley,1.0000000000000001e-11,480748000000.0
1976-12-31,$ Ley,1.0000000000000001e-11,2174073000000.0
1977-12-31,$ Ley,1.0000000000000001e-11,6992041000000.0
1978-12-31,$ Ley,1.0000000000000001e-11,19385229000000.0
1979-12-31,$ Ley,1.0000000000000001e-11,55160700000000.0
1980-12-31,$ Ley,1.0000000000000001e-11,106663000000000.0
1981-12-31,$ Ley,1.0000000000000001e-11,222904000000000.0
1982-12-31,$ Ley,1.0000000000000001e-11,514386000000000.0
1983-12-31,peso argentino,1.0000000000000001e-07,247284000000.0
1984-12-31,peso argentino,1.0000000000000001e-07,1692186000000.0
1985-12-31,Australes,0.0001,10977735000.0
1986-12-31,Australes,0.0001,21099504156.0
1987-12-31,Australes,0.0001,52733759355.00001
1988-12-31,Australes,0.0001,283634805274.0
1989-12-31,Australes,0.0001,9372752666000.002
1990-12-31,Pesos,1.0,7975867200.0
1991-12-31,Pesos,1.0,20014626000.0
1992-12-31,Pesos,1.0,32290136000.0
1993-12-31,Pesos,1.0,47908622000.0
1994-12-31,Pesos,1.0,54547346000.0
1995-12-31,Pesos,1.0,52333725000.0
1996-12-31,Pesos,1.0,62976986000.0
1997-12-31,Pesos,1.0,79221745000.0
1998-12-31,Pesos,1.0,88086733000.0
1999-12-31,Pesos,1.0,90189677517.40999
2000-12-31,Pesos,1.0,92797812371.93001
2001-12-31,Pesos,1.0,73053953000.0
2002-12-31,Pesos,1.0,83851408000.0
2003-12-31,Pesos,1.0,116829749000.0
2004-12-31,Pesos,1.0,147498443000.0
2005-12-31,Pesos,1.0,177179697000.0
2006-12-31,Pesos,1.0,220552608000.0
2007-12-31,Pesos,1.0,267815437000.0
2008-12-31,Pesos,1.0,305421685000.0
2009-12-31,Pesos,1.0,352478589000.0
2010-12-31,Pesos,1.0,485228799000.0
2011-12-31,Pesos,1.0,605084446000.0
2012-12-31,Pesos,1.0,796440454000.0
2013-12-31,Pesos,1.0,999888062000.0
2014-12-31,Pesos,1.0,1283152553000.0
2015-12-31,Pesos,1.0,1761354705000.0
2016-12-31,Pesos,1.0,2422522377000.0
2017-12-31,Pesos,1.0,3105535100000.0
2018-12-31,Pesos,1.0,4736256390000.0
2019-12-31,Pesos,1.0,5700972157000.0
2020-12-31,Pesos,1.0,9524644522000.0
2021-12-31,Pesos,1.0,14518199871000.0
2022-12-31,Pesos,1.0,26334758102000.0
2023-12-31,Pesos,1.0,67350983805000.0
2024-12-31,Pesos,1.0,0.0
