Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MONETARY AGREGATES
,,,,,Monetary Statistics Department - Central Bank of the Argentine Republic
,,,,,
,,,,,
,,,,,
Year,Month,Monetary expression (m),,,M3
,,Description,Quantity of,Equivalence,Total
,,,previous,of the original,
,,,monetary unit,monetary unit,
,,,in the new,with the,
,,,monetary,actual mone-,
,,,unit,tary unit,
Año,Mes,divisa,unidad medida,equivalencia,M3
1940.01,Ene.,m$n,1000000,1.0000000000000002e-13,
1940.02,Feb.,m$n,1000000,1.0000000000000002e-13,
1940.03,Mar.,m$n,1000000,1.0000000000000002e-13,
1940.04,Abr.,m$n,1000000,1.0000000000000002e-13,
1940.05,May.,m$n,1000000,1.0000000000000002e-13,
1940.06,Jun.,m$n,1000000,1.0000000000000002e-13,5371.200000000001
1940.07,Jul.,m$n,1000000,1.0000000000000002e-13,5336.499999999999
1940.08,Ago.,m$n,1000000,1.0000000000000002e-13,5318.9
1940.09,Set.,m$n,1000000,1.0000000000000002e-13,5290.5
1940.1,Oct.,m$n,1000000,1.0000000000000002e-13,5296.700000000001
1940.11,Nov.,m$n,1000000,1.0000000000000002e-13,5366.5
1940.12,Dic.,m$n,1000000,1.0000000000000002e-13,5465.7
1940.13,,,,,
1941.01,Ene. ,m$n,1000000,1.0000000000000002e-13,5510.699999999999
1941.02,Feb.,m$n,1000000,1.0000000000000002e-13,5598.2
1941.03,Mar.,m$n,1000000,1.0000000000000002e-13,5654.5
1941.04,Abr.,m$n,1000000,1.0000000000000002e-13,5701.3
1941.05,May.,m$n,1000000,1.0000000000000002e-13,5737.000000000001
1941.06,Jun.,m$n,1000000,1.0000000000000002e-13,5858.700000000001
1941.07,Jul.,m$n,1000000,1.0000000000000002e-13,5881.5
1941.08,Ago.,m$n,1000000,1.0000000000000002e-13,5942.799999999999
1941.09,Set.,m$n,1000000,1.0000000000000002e-13,5982.8
1941.1,Oct.,m$n,1000000,1.0000000000000002e-13,6059.4
1941.11,Nov.,m$n,1000000,1.0000000000000002e-13,6060.299999999999
1941.12,Dic.,m$n,1000000,1.0000000000000002e-13,6287.5
1941.13,,,,,
1942.01,Ene. ,m$n,1000000,1.0000000000000002e-13,6314.8
1942.02,Feb.,m$n,1000000,1.0000000000000002e-13,6464.500000000001
1942.03,Mar.,m$n,1000000,1.0000000000000002e-13,6528.8
1942.04,Abr.,m$n,1000000,1.0000000000000002e-13,6581.9
1942.05,May.,m$n,1000000,1.0000000000000002e-13,6673.6
1942.06,Jun.,m$n,1000000,1.0000000000000002e-13,6792.4
1942.07,Jul.,m$n,1000000,1.0000000000000002e-13,6820.9
1942.08,Ago.,m$n,1000000,1.0000000000000002e-13,6797.299999999999
1942.09,Set.,m$n,1000000,1.0000000000000002e-13,6856.6
1942.1,Oct.,m$n,1000000,1.0000000000000002e-13,6964.8
1942.11,Nov.,m$n,1000000,1.0000000000000002e-13,7052.8
1942.12,Dic.,m$n,1000000,1.0000000000000002e-13,7251.3
1942.13,,,,,
1943.01,Ene. ,m$n,1000000,1.0000000000000002e-13,7301.299999999999
1943.02,Feb.,m$n,1000000,1.0000000000000002e-13,7432.3
1943.03,Mar.,m$n,1000000,1.0000000000000002e-13,7523.000000000001
1943.04,Abr.,m$n,1000000,1.0000000000000002e-13,7568.5
1943.05,May.,m$n,1000000,1.0000000000000002e-13,7652.5
1943.06,Jun.,m$n,1000000,1.0000000000000002e-13,7825.3
1943.07,Jul.,m$n,1000000,1.0000000000000002e-13,7771.500000000001
1943.08,Ago.,m$n,1000000,1.0000000000000002e-13,7869.9
1943.09,Set.,m$n,1000000,1.0000000000000002e-13,7768.2
1943.1,Oct.,m$n,1000000,1.0000000000000002e-13,7981.2
1943.11,Nov.,m$n,1000000,1.0000000000000002e-13,8201.6
1943.12,Dic.,m$n,1000000,1.0000000000000002e-13,8368.8
1943.13,,,,,
1944.01,Ene.,m$n,1000000,1.0000000000000002e-13,8516
1944.02,Feb.,m$n,1000000,1.0000000000000002e-13,8761.4
1944.03,Mar.,m$n,1000000,1.0000000000000002e-13,8934.300000000001
1944.04,Abr.,m$n,1000000,1.0000000000000002e-13,8958.800000000001
1944.05,May.,m$n,1000000,1.0000000000000002e-13,9066.499999999998
1944.06,Jun.,m$n,1000000,1.0000000000000002e-13,9279
1944.07,Jul.,m$n,1000000,1.0000000000000002e-13,9225.9
1944.08,Ago.,m$n,1000000,1.0000000000000002e-13,9354.499999999998
1944.09,Set.,m$n,1000000,1.0000000000000002e-13,9534.5
1944.1,Oct.,m$n,1000000,1.0000000000000002e-13,9641.900000000001
1944.11,Nov.,m$n,1000000,1.0000000000000002e-13,9821.499999999998
1944.12,Dic.,m$n,1000000,1.0000000000000002e-13,10062.4
1944.13,,,,,
1945.01,Ene.,m$n,1000000,1.0000000000000002e-13,10129.400000000001
1945.02,Feb.,m$n,1000000,1.0000000000000002e-13,10205.7
1945.03,Mar.,m$n,1000000,1.0000000000000002e-13,10274.999999999998
1945.04,Abr.,m$n,1000000,1.0000000000000002e-13,10432.2
1945.05,May.,m$n,1000000,1.0000000000000002e-13,10554.9
