Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MONETARY AGREGATES
,,,,,Monetary Statistics Department - Central Bank of the Argentine Republic
,,,,,
,,,,,
,,,,,
Year,Month,Monetary expression (m),,,M2
,,Description,Quantity of,Equivalence,Total
,,,previous,of the original,
,,,monetary unit,monetary unit,
,,,in the new,with the,
,,,monetary,actual mone-,
,,,,,
Año,Mes,divisa,unidad medida,equivalencia,M2
1940.01,Ene.,m$n,1000000,1.0000000000000002e-13,
1940.02,Feb.,m$n,1000000,1.0000000000000002e-13,
1940.03,Mar.,m$n,1000000,1.0000000000000002e-13,
1940.04,Abr.,m$n,1000000,1.0000000000000002e-13,
1940.05,May.,m$n,1000000,1.0000000000000002e-13,
1940.06,Jun.,m$n,1000000,1.0000000000000002e-13,4602.200000000001
1940.07,Jul.,m$n,1000000,1.0000000000000002e-13,4561.9
1940.08,Ago.,m$n,1000000,1.0000000000000002e-13,4522.5
1940.09,Set.,m$n,1000000,1.0000000000000002e-13,4497
1940.1,Oct.,m$n,1000000,1.0000000000000002e-13,4496.200000000001
1940.11,Nov.,m$n,1000000,1.0000000000000002e-13,4553.2
1940.12,Dic.,m$n,1000000,1.0000000000000002e-13,4672.7
1940.13,,,,,
1941.01,Ene. ,m$n,1000000,1.0000000000000002e-13,4729.599999999999
1941.02,Feb.,m$n,1000000,1.0000000000000002e-13,4815
1941.03,Mar.,m$n,1000000,1.0000000000000002e-13,4856.5
1941.04,Abr.,m$n,1000000,1.0000000000000002e-13,4887.6
1941.05,May.,m$n,1000000,1.0000000000000002e-13,4938.1
1941.06,Jun.,m$n,1000000,1.0000000000000002e-13,5054.3
1941.07,Jul.,m$n,1000000,1.0000000000000002e-13,5068.8
1941.08,Ago.,m$n,1000000,1.0000000000000002e-13,5121.299999999999
1941.09,Set.,m$n,1000000,1.0000000000000002e-13,5167.700000000001
1941.1,Oct.,m$n,1000000,1.0000000000000002e-13,5262.9
1941.11,Nov.,m$n,1000000,1.0000000000000002e-13,5268.299999999999
1941.12,Dic.,m$n,1000000,1.0000000000000002e-13,5519.9
1941.13,,,,,
1942.01,Ene. ,m$n,1000000,1.0000000000000002e-13,5544.4
1942.02,Feb.,m$n,1000000,1.0000000000000002e-13,5668.1
1942.03,Mar.,m$n,1000000,1.0000000000000002e-13,5709.8
1942.04,Abr.,m$n,1000000,1.0000000000000002e-13,5758.9
1942.05,May.,m$n,1000000,1.0000000000000002e-13,5842.8
1942.06,Jun.,m$n,1000000,1.0000000000000002e-13,5952.4
1942.07,Jul.,m$n,1000000,1.0000000000000002e-13,5970.299999999999
1942.08,Ago.,m$n,1000000,1.0000000000000002e-13,5936
1942.09,Set.,m$n,1000000,1.0000000000000002e-13,6001.7
1942.1,Oct.,m$n,1000000,1.0000000000000002e-13,6114.5
1942.11,Nov.,m$n,1000000,1.0000000000000002e-13,6194.2
1942.12,Dic.,m$n,1000000,1.0000000000000002e-13,6414.1
1942.13,,,,,
1943.01,Ene. ,m$n,1000000,1.0000000000000002e-13,6470.5
1943.02,Feb.,m$n,1000000,1.0000000000000002e-13,6578.9
1943.03,Mar.,m$n,1000000,1.0000000000000002e-13,6657.9
1943.04,Abr.,m$n,1000000,1.0000000000000002e-13,6717.2
1943.05,May.,m$n,1000000,1.0000000000000002e-13,6800.8
1943.06,Jun.,m$n,1000000,1.0000000000000002e-13,6968.5
1943.07,Jul.,m$n,1000000,1.0000000000000002e-13,6928.700000000001
1943.08,Ago.,m$n,1000000,1.0000000000000002e-13,7035.9
1943.09,Set.,m$n,1000000,1.0000000000000002e-13,6939.9
1943.1,Oct.,m$n,1000000,1.0000000000000002e-13,7163.5
1943.11,Nov.,m$n,1000000,1.0000000000000002e-13,7377.200000000001
1943.12,Dic.,m$n,1000000,1.0000000000000002e-13,7559.799999999999
1943.13,,,,,
1944.01,Ene.,m$n,1000000,1.0000000000000002e-13,7703.2
1944.02,Feb.,m$n,1000000,1.0000000000000002e-13,7937.3
1944.03,Mar.,m$n,1000000,1.0000000000000002e-13,8101.800000000001
1944.04,Abr.,m$n,1000000,1.0000000000000002e-13,8116.1
1944.05,May.,m$n,1000000,1.0000000000000002e-13,8209.9
1944.06,Jun.,m$n,1000000,1.0000000000000002e-13,8401.1
1944.07,Jul.,m$n,1000000,1.0000000000000002e-13,8355.1
1944.08,Ago.,m$n,1000000,1.0000000000000002e-13,8477.599999999999
1944.09,Set.,m$n,1000000,1.0000000000000002e-13,8653.9
1944.1,Oct.,m$n,1000000,1.0000000000000002e-13,8733.400000000001
1944.11,Nov.,m$n,1000000,1.0000000000000002e-13,8899.099999999999
1944.12,Dic.,m$n,1000000,1.0000000000000002e-13,9147.1
1944.13,,,,,
1945.01,Ene.,m$n,1000000,1.0000000000000002e-13,9206.400000000001
1945.02,Feb.,m$n,1000000,1.0000000000000002e-13,9262
1945.03,Mar.,m$n,1000000,1.0000000000000002e-13,9322.3
1945.04,Abr.,m$n,1000000,1.0000000000000002e-13,9477.900000000001
1945.05,May.,m$n,1000000,1.0000000000000002e-13,9591.4
