Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MONETARY AGREGATES
,,,,,Monetary Statistics Department - Central Bank of the Argentine Republic
,,,,,
,,,,,
,,,,,
Year,Month,Monetary expression (m),,,M1
,,Description,Quantity of,Equivalence,Total
,,,previous,of the original,
,,,monetary unit,monetary unit,
,,,in the new,with the,
,,,monetary,actual mone-,
,,,,,
Año,Mes,divisa,unidad medida,equivalencia,M1
1940.01,Ene.,m$n,1000000,1.0000000000000002e-13,
1940.02,Feb.,m$n,1000000,1.0000000000000002e-13,
1940.03,Mar.,m$n,1000000,1.0000000000000002e-13,
1940.04,Abr.,m$n,1000000,1.0000000000000002e-13,
1940.05,May.,m$n,1000000,1.0000000000000002e-13,
1940.06,Jun.,m$n,1000000,1.0000000000000002e-13,2546.9
1940.07,Jul.,m$n,1000000,1.0000000000000002e-13,2501.6
1940.08,Ago.,m$n,1000000,1.0000000000000002e-13,2462
1940.09,Set.,m$n,1000000,1.0000000000000002e-13,2438.8
1940.1,Oct.,m$n,1000000,1.0000000000000002e-13,2443.9
1940.11,Nov.,m$n,1000000,1.0000000000000002e-13,2515.1
1940.12,Dic.,m$n,1000000,1.0000000000000002e-13,2619.2
1940.13,,,,,
1941.01,Ene. ,m$n,1000000,1.0000000000000002e-13,2664.8999999999996
1941.02,Feb.,m$n,1000000,1.0000000000000002e-13,2741.3
1941.03,Mar.,m$n,1000000,1.0000000000000002e-13,2774.8
1941.04,Abr.,m$n,1000000,1.0000000000000002e-13,2797.7
1941.05,May.,m$n,1000000,1.0000000000000002e-13,2839.5
1941.06,Jun.,m$n,1000000,1.0000000000000002e-13,2930.5
1941.07,Jul.,m$n,1000000,1.0000000000000002e-13,2936.8
1941.08,Ago.,m$n,1000000,1.0000000000000002e-13,2977.8999999999996
1941.09,Set.,m$n,1000000,1.0000000000000002e-13,3007.8
1941.1,Oct.,m$n,1000000,1.0000000000000002e-13,3085.3999999999996
1941.11,Nov.,m$n,1000000,1.0000000000000002e-13,3097.6
1941.12,Dic.,m$n,1000000,1.0000000000000002e-13,3334.9
1941.13,,,,,
1942.01,Ene. ,m$n,1000000,1.0000000000000002e-13,3329.3999999999996
1942.02,Feb.,m$n,1000000,1.0000000000000002e-13,3434.1
1942.03,Mar.,m$n,1000000,1.0000000000000002e-13,3457
1942.04,Abr.,m$n,1000000,1.0000000000000002e-13,3481.3999999999996
1942.05,May.,m$n,1000000,1.0000000000000002e-13,3542.5
1942.06,Jun.,m$n,1000000,1.0000000000000002e-13,3615.3999999999996
1942.07,Jul.,m$n,1000000,1.0000000000000002e-13,3610.7
1942.08,Ago.,m$n,1000000,1.0000000000000002e-13,3588.6
1942.09,Set.,m$n,1000000,1.0000000000000002e-13,3635.8999999999996
1942.1,Oct.,m$n,1000000,1.0000000000000002e-13,3729.8
1942.11,Nov.,m$n,1000000,1.0000000000000002e-13,3795
1942.12,Dic.,m$n,1000000,1.0000000000000002e-13,3973.7
1942.13,,,,,
1943.01,Ene. ,m$n,1000000,1.0000000000000002e-13,3983.9
1943.02,Feb.,m$n,1000000,1.0000000000000002e-13,4063.8
1943.03,Mar.,m$n,1000000,1.0000000000000002e-13,4116.6
1943.04,Abr.,m$n,1000000,1.0000000000000002e-13,4147
1943.05,May.,m$n,1000000,1.0000000000000002e-13,4201.8
1943.06,Jun.,m$n,1000000,1.0000000000000002e-13,4326
1943.07,Jul.,m$n,1000000,1.0000000000000002e-13,4257.1
1943.08,Ago.,m$n,1000000,1.0000000000000002e-13,4351
1943.09,Set.,m$n,1000000,1.0000000000000002e-13,4289.799999999999
1943.1,Oct.,m$n,1000000,1.0000000000000002e-13,4486.1
1943.11,Nov.,m$n,1000000,1.0000000000000002e-13,4681.700000000001
1943.12,Dic.,m$n,1000000,1.0000000000000002e-13,4798.7
1943.13,,,,,
1944.01,Ene.,m$n,1000000,1.0000000000000002e-13,4894.2
1944.02,Feb.,m$n,1000000,1.0000000000000002e-13,5095
1944.03,Mar.,m$n,1000000,1.0000000000000002e-13,5222.200000000001
1944.04,Abr.,m$n,1000000,1.0000000000000002e-13,5203.3
1944.05,May.,m$n,1000000,1.0000000000000002e-13,5265.5
1944.06,Jun.,m$n,1000000,1.0000000000000002e-13,5399.7
1944.07,Jul.,m$n,1000000,1.0000000000000002e-13,5355.5
1944.08,Ago.,m$n,1000000,1.0000000000000002e-13,5432.299999999999
1944.09,Set.,m$n,1000000,1.0000000000000002e-13,5551.4
1944.1,Oct.,m$n,1000000,1.0000000000000002e-13,5590.6
1944.11,Nov.,m$n,1000000,1.0000000000000002e-13,5726.4
1944.12,Dic.,m$n,1000000,1.0000000000000002e-13,5904.6
1944.13,,,,,
1945.01,Ene.,m$n,1000000,1.0000000000000002e-13,5895.6
1945.02,Feb.,m$n,1000000,1.0000000000000002e-13,5930.4
1945.03,Mar.,m$n,1000000,1.0000000000000002e-13,5976.5
1945.04,Abr.,m$n,1000000,1.0000000000000002e-13,6110.6
1945.05,May.,m$n,1000000,1.0000000000000002e-13,6184.2
1945.06,Jun.,m$n,1000000,1.0000000000000002e-13,6317.2
